@relation 'random2.csv'

@attribute name string
@attribute timestamp numeric
@attribute Feature1 numeric
@attribute Feature2 numeric
@attribute Feature3 numeric
@attribute Feature4 numeric
@attribute Feature5 numeric
@attribute Feature6 numeric
@attribute Feature7 numeric
@attribute Feature8 numeric
@attribute Feature9 numeric
@attribute Feature10 numeric

@data
01.wav,0.740000,4.654616,2.395512,4.676129,4.065065,7.232541,2.661581,4.252192,2.906611,3.711863,4.393143
01.wav,0.760000,3.260094,0.444710,3.617919,1.340921,6.130515,6.572092,2.503529,1.767577,4.671705,4.481417
01.wav,0.780000,4.013946,1.679080,3.165431,1.699252,3.063186,5.855919,3.038020,1.611495,2.182130,4.438225
01.wav,0.800000,4.815986,0.211852,3.021052,1.335466,3.843180,7.051281,5.502551,3.597971,2.533139,3.782557
01.wav,0.820000,4.101518,2.210551,3.238916,4.381461,5.612808,4.307859,2.523150,3.391999,5.172500,2.354322
01.wav,0.840000,1.820942,3.390367,0.978797,0.779815,5.384867,5.368398,2.126943,2.479475,6.383881,5.459403
01.wav,0.860000,3.126154,1.146599,4.943843,4.017780,5.782651,4.703261,1.643243,5.119817,4.404909,4.762151
01.wav,0.880000,2.372863,0.931617,2.325429,2.647973,6.471381,5.036894,5.597421,6.076181,5.884837,5.250003
01.wav,0.900000,1.001359,3.595100,2.201812,2.806601,6.678407,2.566114,3.016752,5.061494,5.038836,2.832763
01.wav,0.920000,2.433188,5.027099,3.549576,4.587882,3.211352,4.237130,2.446096,5.796557,4.544596,5.784693
01.wav,0.940000,5.568994,3.357886,0.207597,5.214186,6.022172,6.912509,2.181746,4.558484,3.696122,1.391744
01.wav,0.960000,2.054988,3.316076,1.795898,5.515153,6.257760,5.208704,3.768209,2.328622,3.391716,5.364329
01.wav,0.980000,3.719174,4.316491,1.561816,3.368654,6.814126,7.223890,4.391682,3.217409,2.223513,3.672586
01.wav,1.000000,5.421660,3.897555,1.120878,5.285735,6.776734,2.835958,3.915205,2.091972,4.732804,1.500269
01.wav,1.020000,1.878377,1.794358,4.650976,2.668096,7.184374,4.486297,4.211506,3.958138,6.743191,1.562791
01.wav,1.040000,1.552842,4.072006,2.741946,1.328717,3.548098,4.592102,4.527952,2.071929,4.113315,3.306713
01.wav,1.060000,4.298363,2.078449,4.498224,0.827277,6.170561,4.591039,4.194508,4.321783,3.444757,1.936662
01.wav,1.080000,0.950483,4.737792,0.937030,2.238613,6.440124,5.511570,5.899967,3.858571,2.077625,5.874210
01.wav,1.100000,4.297801,4.370355,2.084641,3.042293,4.634914,4.792456,2.946070,5.534102,2.954475,5.210230
01.wav,1.120000,5.261901,2.127918,3.948031,1.986849,5.353784,3.726781,1.806455,5.188396,6.761766,1.887534
01.wav,1.140000,1.755384,2.150010,0.282365,3.371169,4.666693,4.726379,2.524051,3.333557,4.337004,2.666765
01.wav,1.160000,1.693043,0.846614,4.927593,2.915314,5.890582,3.992469,4.038939,2.050871,4.532242,2.117443
01.wav,1.180000,4.382681,0.384903,4.570263,4.633963,6.204224,5.258366,4.955536,1.348277,3.134333,5.390282
01.wav,1.200000,3.072379,2.746384,3.258175,4.229926,6.264923,6.517344,5.735998,4.767274,5.812622,2.445898
01.wav,1.220000,5.830521,0.557101,2.949749,1.633146,2.900633,6.975510,2.180781,5.592858,2.711586,3.500402
01.wav,1.240000,2.821217,4.297541,3.888095,4.140186,5.841427,5.675603,2.502723,3.679717,6.702968,2.184166
01.wav,1.260000,5.063534,0.878660,0.844762,1.479566,6.265926,7.163176,4.296962,2.533762,5.442659,3.514046
01.wav,1.280000,3.081918,1.927598,1.407265,5.652479,5.347331,3.188660,1.966772,2.153442,4.988403,1.916467
01.wav,1.300000,1.053792,1.470366,0.385473,2.205772,4.506146,5.080584,2.940332,1.714425,5.009140,2.370497
01.wav,1.320000,2.272792,1.743352,0.476615,3.002118,7.308957,3.349380,2.112147,5.671756,4.253359,4.285931
01.wav,1.340000,3.197409,3.078818,3.762737,2.807393,6.088278,2.990663,3.942873,3.485376,4.939376,2.626322
01.wav,1.360000,2.950783,1.811682,0.607310,2.321493,2.497132,2.541011,2.124742,3.098292,3.894991,3.377020
01.wav,1.380000,1.880308,1.119148,2.616618,2.061549,3.667048,6.007864,3.896225,5.557156,3.743721,4.620581
01.wav,1.400000,4.999779,2.610419,1.100052,3.842579,4.303836,6.092795,5.772384,6.030328,6.484611,5.501124
01.wav,1.420000,4.930081,1.789942,1.780101,3.076533,5.286620,3.252564,6.420439,4.679398,6.363739,1.656890
01.wav,1.440000,2.868756,4.417323,1.699249,2.886469,3.619758,5.269586,2.085474,1.376089,5.555330,4.353090
01.wav,1.460000,1.896154,3.210382,0.855564,1.856641,6.818530,6.569610,4.483085,5.089673,4.222459,1.549525
01.wav,1.480000,1.456055,4.983483,1.031757,2.482606,5.670402,6.580468,5.321465,6.006624,2.886937,3.368569
01.wav,1.500000,3.139586,1.992985,1.931332,1.474876,6.437423,4.124452,4.806438,4.053404,2.556618,4.313716
01.wav,1.520000,5.620840,4.195008,0.541358,5.429147,4.177545,7.275048,3.164541,4.045756,6.499606,3.936212
01.wav,1.540000,4.617449,0.776277,2.988521,4.685783,3.392831,6.924168,4.498124,1.716936,3.645560,2.589680
01.wav,1.560000,5.802810,0.892263,1.070999,2.938820,4.490447,3.111875,4.013249,3.633275,2.081580,2.092552
01.wav,1.580000,0.923333,3.906431,4.735156,1.399299,5.785077,3.334296,6.273784,5.008430,4.977256,2.827827
01.wav,1.600000,3.495423,3.188490,4.281508,2.265293,3.159966,3.415057,2.931648,3.707687,5.975993,1.706914
01.wav,1.620000,3.226971,4.057394,0.931323,1.581571,5.626351,4.525988,4.712746,3.991998,5.754402,2.497619
01.wav,1.640000,5.603744,4.157839,3.399298,2.870643,5.026142,5.584918,3.388052,5.738223,3.712098,2.381615
01.wav,1.660000,4.037592,1.032707,4.786522,3.192301,5.898657,6.800370,4.594829,2.793376,6.225778,5.618074
01.wav,1.680000,5.397648,0.967990,0.468102,1.855512,6.522746,3.672840,3.059199,2.286656,6.932651,3.287177
01.wav,1.700000,2.671145,1.331049,2.977332,4.473660,5.293578,3.173872,5.076465,6.195586,4.137654,2.963273
01.wav,1.720000,5.799912,2.288271,0.814126,5.370201,3.582211,2.581035,3.282028,4.056212,4.935450,4.691188
01.wav,1.740000,3.885273,4.509842,5.043537,2.640869,4.530547,3.233185,2.720782,5.896998,4.063039,5.005215
01.wav,1.760000,1.682930,3.899140,4.960899,3.940069,7.334889,3.748556,5.539933,3.366442,6.612907,2.874753
01.wav,1.780000,1.386182,2.045874,4.346293,2.235771,3.102064,5.647140,2.318547,2.393673,4.194064,4.596272
01.wav,1.800000,5.814230,3.724360,2.291826,0.994566,4.589064,2.441416,1.711456,5.962455,4.024522,2.483948
01.wav,1.820000,2.164055,1.823494,2.427759,0.729914,5.963284,5.153429,1.639374,4.037842,2.332738,2.720699
01.wav,1.840000,4.972135,0.713674,2.228915,4.698125,2.538527,4.315851,3.705332,4.066748,4.157834,1.615175
01.wav,1.860000,2.060653,1.567372,4.623805,1.815565,6.142802,2.592221,1.908566,2.801462,3.360038,4.468391
01.wav,1.880000,4.930435,1.625835,0.262034,4.100057,4.567940,6.764741,3.704424,1.833143,5.017852,4.698804
01.wav,1.900000,3.937669,4.245117,0.611326,1.369417,6.484705,7.121906,2.533866,2.625918,3.446687,5.502351
01.wav,1.920000,2.405182,2.612461,1.060615,4.701122,6.385463,5.181962,4.338806,4.597808,6.554896,4.378261
01.wav,1.940000,0.954191,2.807538,4.535378,2.090448,4.679234,3.195609,5.824656,4.616765,6.534693,1.365699
01.wav,1.960000,4.008274,2.697132,0.545218,0.921139,4.485832,5.470202,4.866053,2.566505,3.852129,3.604574
01.wav,1.980000,5.753385,1.017171,0.902550,4.493970,7.023644,6.549041,5.293697,3.802062,6.953610,4.204312
01.wav,2.000000,4.069981,3.487329,1.761584,4.094753,5.140921,6.713745,5.717558,1.745880,5.874593,4.366428
01.wav,2.020000,4.921853,2.850582,2.349008,3.087648,2.862699,4.129680,6.080963,3.187817,5.847274,4.186316
01.wav,2.040000,4.145177,0.945780,3.526501,5.143846,6.040197,5.148929,1.920000,2.834333,4.058634,1.925193
01.wav,2.060000,4.019639,0.421291,1.990827,2.166426,4.115062,7.010675,2.540233,2.461935,6.904512,2.365320
01.wav,2.080000,3.777575,0.821245,4.392130,3.726531,6.516702,3.553792,4.073277,4.838223,4.372994,5.056168
01.wav,2.100000,1.067269,4.955978,1.805821,5.308774,4.391138,7.157142,1.688911,2.637579,6.024451,3.651562
01.wav,2.120000,3.668089,2.881776,3.711606,4.960016,6.899908,6.232910,6.238529,2.352913,3.030151,5.185348
01.wav,2.140000,1.229134,3.114338,0.099656,0.783386,4.820467,3.687159,3.018433,3.235906,4.286352,5.207900
01.wav,2.160000,3.415228,2.619045,2.371190,1.994922,3.772424,3.464638,5.187893,3.380280,4.544972,2.110915
01.wav,2.180000,4.015890,1.776166,4.710398,4.284336,5.705447,3.129110,2.315998,2.639187,2.729388,3.150715
01.wav,2.200000,5.758934,4.980640,3.799821,1.183046,5.494559,5.972463,4.349279,3.984559,3.537427,1.647414
01.wav,2.220000,1.536324,3.485945,3.983995,2.177291,5.705373,6.566674,5.534339,2.024983,6.735847,4.723131
01.wav,2.240000,3.607217,0.670580,2.961535,4.413317,5.741954,5.818738,6.515553,5.866739,3.694888,4.127532
01.wav,2.260000,1.765386,3.695979,5.015838,5.406556,3.519518,7.151797,5.665103,5.835289,6.668486,1.672511
01.wav,2.280000,1.126828,4.597739,4.353887,1.906339,3.296267,6.662318,3.487621,1.824397,5.439199,4.525741
01.wav,2.300000,4.730920,5.046806,0.229844,1.970374,5.606150,7.103187,2.961710,3.033059,5.506536,3.018892
01.wav,2.320000,4.488089,4.282688,1.501626,4.581997,2.458581,5.171521,4.140252,3.038815,2.520210,4.472696
01.wav,2.340000,4.379780,3.949045,0.276746,4.626344,7.053239,2.746560,3.183445,5.227451,4.273604,5.803602
01.wav,2.360000,2.112288,0.870141,3.205959,1.096785,4.521102,3.343122,3.062941,4.055948,6.112515,3.114142
01.wav,2.380000,3.360974,0.385951,3.344217,3.567560,2.850115,3.677056,1.809397,4.865393,3.616028,3.287233
01.wav,2.400000,2.893878,2.800817,2.758324,2.559075,2.722755,3.374848,6.162645,2.762744,2.462485,3.575447
01.wav,2.420000,5.132092,3.904182,0.161717,4.630490,6.288955,3.239366,2.273750,6.206743,4.372063,5.899810
01.wav,2.440000,4.489215,0.702447,1.347705,4.912709,3.969614,7.387442,3.199845,6.167509,5.090756,4.075151
01.wav,2.460000,2.594293,1.862345,1.118956,4.064146,5.097332,6.532698,4.918011,3.882117,2.939237,1.592716
01.wav,2.480000,3.949329,3.823844,1.586867,4.557815,3.863663,4.892131,5.927027,3.491801,5.962300,2.346428
01.wav,2.500000,2.365454,2.950688,2.558281,2.621434,4.800898,3.089735,3.893665,3.268815,2.117875,3.321342
01.wav,2.520000,4.062923,1.207075,3.570174,4.389940,4.704253,2.913974,4.793720,5.174124,5.448976,1.803079
01.wav,2.540000,2.596022,2.998103,4.118769,3.331690,3.960775,6.706587,6.433079,1.866499,4.617234,1.276453
01.wav,2.560000,1.263420,1.943839,3.946639,4.728783,5.979920,6.536227,4.050529,3.650659,3.798681,2.307376
01.wav,2.580000,3.510286,4.505934,0.923911,1.333889,5.593359,3.008921,3.122006,6.181654,6.820290,1.689034
01.wav,2.600000,4.084969,0.740091,3.412919,4.951350,6.202449,2.703242,6.485835,3.356585,6.193023,4.818098
01.wav,2.620000,2.708065,0.515822,4.558035,3.489081,6.817236,5.377592,5.491004,5.230792,2.075252,4.886188
01.wav,2.640000,3.835949,4.867778,2.494841,1.068392,6.913228,2.461585,2.285053,3.793500,5.561084,5.530642
01.wav,2.660000,3.039358,3.098296,5.049504,3.120932,4.299617,4.061817,2.314882,2.198199,5.066419,4.613195
01.wav,2.680000,1.769835,2.174851,3.244372,5.511926,7.242986,5.678579,2.768067,2.757579,4.231529,4.224480
01.wav,2.700000,2.642097,5.088758,4.076181,0.837388,3.930898,7.053705,4.274125,4.044433,3.823837,3.078255
01.wav,2.720000,5.482338,4.352492,0.682924,4.854005,6.375826,2.965307,4.207400,2.214800,6.240100,2.012958
01.wav,2.740000,1.562251,3.419741,4.746625,4.612863,4.896110,4.214072,4.964417,4.254020,4.674065,4.593797
01.wav,2.760000,5.804271,4.264565,1.969512,2.312166,4.985465,5.323662,6.154078,6.098075,1.968187,4.557125
01.wav,2.780000,1.825516,1.509052,3.313801,4.444127,3.327558,4.016727,4.846987,5.416931,4.902042,5.489847
01.wav,2.800000,2.820923,0.728293,1.100446,4.951040,6.566527,4.057594,2.830591,2.544208,2.142598,1.730114
01.wav,2.820000,2.823561,1.689337,0.656625,3.589462,2.446559,4.668992,3.320184,4.882318,3.944170,3.321147
01.wav,2.840000,1.152752,1.913016,1.299531,3.782091,5.710494,4.728586,5.902789,5.962671,4.848115,1.771889
01.wav,2.860000,2.104473,1.007458,0.723583,1.484837,5.695739,3.928205,3.831664,5.521849,6.606552,5.705615
01.wav,2.880000,3.382262,4.840307,0.808163,3.486108,6.410751,3.657034,1.700222,4.258096,3.263098,2.509317
01.wav,2.900000,1.282337,2.408055,2.466150,1.316198,4.706121,5.146025,5.989207,1.559130,3.741633,1.625307
01.wav,2.920000,4.958998,4.910926,2.383525,4.996633,4.858707,3.760043,1.726870,1.844391,2.188520,4.292921
01.wav,2.940000,3.162318,4.637197,3.733382,2.044154,4.459485,6.695003,6.174932,4.949635,6.495528,4.791717
01.wav,2.960000,4.092915,4.746082,2.987047,1.533352,3.487313,3.171263,3.802896,4.358724,5.566324,5.806420
01.wav,2.980000,1.865227,3.439682,1.707426,2.761056,6.659129,7.201932,3.211901,3.502850,6.144978,5.917853
01.wav,3.000000,5.242800,4.483965,2.189286,3.397390,6.237910,2.470263,3.471617,4.000049,2.137452,4.436105
01.wav,3.020000,5.009213,3.695197,0.259564,4.964211,6.204837,6.484139,1.621178,3.076619,2.944341,5.248846
01.wav,3.040000,1.380098,2.116166,1.474058,2.829877,3.635064,5.460205,4.322149,4.549598,6.936111,1.776079
01.wav,3.060000,1.690085,0.823311,1.560359,1.323260,5.360541,4.204862,6.532263,2.275106,6.545176,5.887293
01.wav,3.080000,1.953276,2.647880,0.392433,3.170367,4.779714,5.536006,1.628686,4.313604,6.094861,2.179462
01.wav,3.100000,5.740924,1.878881,2.418416,4.495573,5.234485,5.214721,2.211279,5.386936,5.169158,3.322612
01.wav,3.120000,4.522142,2.992822,1.543342,2.876837,4.473928,5.385491,4.036214,2.709606,5.218218,4.726375
01.wav,3.140000,2.201916,3.773440,2.411388,5.294942,4.012900,5.262060,2.865393,6.077354,5.822160,1.267013
01.wav,3.160000,2.810921,2.384241,0.904703,2.578920,3.930431,4.718253,4.163111,1.402225,2.404397,2.201602
01.wav,3.180000,3.895092,5.016151,3.949693,0.769903,5.363319,3.682014,1.905119,4.075978,5.480108,2.174057
01.wav,3.200000,3.808252,3.997885,5.040711,3.788024,4.603970,5.546036,4.507399,5.367267,3.107107,3.268577
01.wav,3.220000,2.068190,1.142806,3.183040,3.783254,5.397979,6.510349,2.978022,4.621066,6.787972,5.649908
01.wav,3.240000,2.320518,1.702300,0.648970,5.332832,4.523509,7.255825,2.539040,4.968462,3.321854,1.328032
01.wav,3.260000,4.940387,1.165805,1.692506,1.014497,5.519638,7.114850,5.412252,4.331315,2.095305,2.738561
01.wav,3.280000,5.551029,4.434727,4.215170,2.728513,3.320038,6.438905,1.599656,4.758021,2.049518,5.284294
01.wav,3.300000,1.227801,4.045410,4.860576,4.763195,4.108332,5.591041,5.145106,4.319150,5.875523,1.374609
01.wav,3.320000,2.144968,1.209308,0.758633,1.374586,5.787999,4.675515,3.047505,2.235205,3.613930,2.081272
01.wav,3.340000,1.075369,1.576340,1.631439,2.830824,6.883674,5.882203,1.628444,3.820189,2.613467,1.254762
01.wav,3.360000,3.141876,4.504749,0.628032,1.826435,4.882702,2.676005,3.283628,6.055088,5.328401,3.201344
01.wav,3.380000,2.365799,1.885875,2.647233,4.597449,3.300931,5.309762,5.100749,1.797783,6.137350,5.902275
01.wav,3.400000,2.803025,4.793426,2.028723,4.922657,3.038604,3.882153,6.397836,1.634248,4.552971,1.082071
01.wav,3.420000,2.357927,4.154201,3.335485,1.068622,5.658450,4.016015,4.776546,3.643372,5.813756,3.622207
01.wav,3.440000,0.971162,4.408302,3.318143,2.963684,6.878560,6.087311,2.279982,6.156771,6.289871,2.074457
01.wav,3.460000,1.350134,2.759583,3.098905,1.984847,6.681002,5.873147,3.667292,3.069269,5.646993,1.821833
01.wav,3.480000,3.736061,1.710153,1.618783,5.205677,4.183061,6.068597,5.430702,2.557366,6.542838,3.457617
01.wav,3.500000,2.893236,4.302996,2.028054,4.943207,6.630233,4.999585,3.739187,2.166225,2.437423,1.714284
01.wav,3.520000,2.007307,0.157952,1.419731,1.417227,6.868095,4.925447,2.563991,2.401983,2.299590,3.739630
01.wav,3.540000,2.745343,3.912688,0.563914,5.213682,2.805030,6.654781,5.576209,5.188566,3.759679,4.060993
01.wav,3.560000,4.051081,1.899204,0.417121,0.913747,5.991349,6.385193,2.610440,5.657097,2.968423,3.940043
01.wav,3.580000,1.640390,3.076378,3.408711,3.978115,3.798014,7.067447,6.093853,2.731539,4.379479,1.394706
01.wav,3.600000,1.945902,2.564162,3.465787,3.399984,7.170037,6.846382,6.186437,3.026587,4.667769,3.578254
01.wav,3.620000,2.330969,0.602201,4.572844,3.008145,4.731629,7.020489,6.490246,1.808905,5.809735,3.912671
01.wav,3.640000,4.267519,0.357573,1.170581,1.452277,7.113640,5.445428,4.907972,3.621114,2.212073,4.715478
01.wav,3.660000,4.928894,2.523410,1.829099,2.937857,4.533201,5.386798,6.313605,3.280858,3.071756,4.973581
01.wav,3.680000,2.335186,4.867078,0.899770,1.972014,6.248795,4.969531,4.768685,1.502821,2.248584,4.465370
01.wav,3.700000,1.658696,4.078732,4.446185,5.135568,6.033276,6.348378,2.057475,5.922970,6.496528,5.287300
01.wav,3.720000,4.989485,3.128554,1.628381,3.939332,5.232520,5.642944,1.994809,2.450794,3.105224,3.814621
01.wav,3.740000,3.206094,4.435394,2.223122,1.463178,5.828489,5.887383,4.455360,1.871099,4.266704,1.066362
01.wav,3.760000,4.667121,5.077719,3.027187,3.243059,4.117247,6.863222,5.701721,5.319904,4.015497,4.849767
01.wav,3.780000,5.273078,0.743421,0.758095,3.234062,5.725622,3.701475,1.594323,2.982436,3.021867,4.597892
01.wav,3.800000,3.840660,1.756197,4.342376,4.737633,4.007608,3.071660,6.364011,1.339073,5.817983,1.528394
01.wav,3.820000,4.867375,4.003289,3.523953,2.129755,2.885177,4.217567,3.007491,3.042922,2.355747,3.031393
01.wav,3.840000,5.015615,3.022073,2.050318,0.732872,2.709420,5.394422,3.249375,3.704287,2.478167,1.673997
01.wav,3.860000,4.872878,2.905125,4.115956,5.496885,4.659997,6.859757,4.779975,2.322202,2.413017,5.300701
01.wav,3.880000,4.232434,3.900776,4.106708,2.768051,5.582604,6.422955,5.625469,5.846871,3.805362,3.534749
01.wav,3.900000,3.578709,1.598505,2.736012,0.697494,2.556234,6.953920,6.124840,3.641309,2.420590,3.494586
01.wav,3.920000,3.251374,1.570310,0.450409,5.480894,4.199763,4.324111,1.717692,3.103328,3.951031,3.709198
01.wav,3.940000,2.416803,4.520572,4.668129,5.115683,3.274941,6.446502,5.398711,2.057394,2.932070,1.203862
01.wav,3.960000,3.279057,4.862203,3.653544,5.358987,3.471941,2.750791,1.888147,5.808776,4.606369,1.930220
01.wav,3.980000,3.025830,2.689394,0.921511,2.123162,6.545684,2.881332,1.591369,1.862377,5.812202,2.479310
01.wav,4.000000,3.681199,0.860614,0.121311,3.196465,4.743108,2.608118,3.603838,4.290173,6.539664,3.908539
01.wav,4.020000,2.144509,0.186456,0.613390,5.122146,5.015436,4.079391,5.061182,6.080738,2.476961,4.158532
01.wav,4.040000,1.397469,0.805075,3.567097,2.403468,7.082712,4.750611,2.430647,2.385083,5.323510,2.249811
01.wav,4.060000,5.671744,1.916421,4.614459,1.464317,5.868176,3.038927,3.891370,4.417629,3.572616,2.363440
01.wav,4.080000,1.199180,0.774618,0.915093,2.923960,5.309387,7.007165,2.752641,1.356798,6.812114,2.364922
01.wav,4.100000,5.841003,4.644809,2.251593,1.973135,7.343088,6.649815,5.027226,2.591052,6.506601,5.978432
01.wav,4.120000,5.540977,4.999342,1.514161,5.517298,6.384220,2.627421,4.047104,2.937217,3.887668,1.295226
01.wav,4.140000,3.578272,1.149599,0.663395,2.307119,6.637961,6.354637,3.452297,2.385459,4.510238,2.817296
01.wav,4.160000,5.116832,0.519158,0.764758,5.415513,5.370715,3.877785,2.263826,2.454934,4.767093,3.110607
01.wav,4.180000,3.862933,4.983931,2.511912,3.963451,5.792448,6.184330,5.283366,4.426969,4.622942,1.872337
01.wav,4.200000,3.009427,1.127045,0.090727,5.208256,6.546418,3.550711,1.639543,6.026727,4.546759,3.220816
01.wav,4.220000,1.143541,1.871118,2.437528,1.287807,2.931998,5.404343,6.369201,4.061564,4.645261,5.489275
01.wav,4.240000,2.410121,3.153695,2.259643,2.229592,3.505717,3.317057,5.447991,3.390585,4.229218,2.497508
01.wav,4.260000,0.874879,2.859605,4.214783,4.330217,3.400186,2.827773,3.000493,2.652810,5.728034,4.278587
01.wav,4.280000,4.616798,0.787646,2.800516,5.112009,6.612141,3.426006,1.599473,1.529573,2.256178,3.474710
01.wav,4.300000,5.622424,3.250686,3.223258,3.661468,6.276249,5.783811,4.430462,1.881245,6.214283,5.364984
01.wav,4.320000,5.699663,0.575029,4.239925,1.480974,6.923595,6.712176,2.691747,5.941683,4.199722,2.423838
01.wav,4.340000,4.961979,3.311979,1.277521,2.631905,2.923973,4.847988,5.931285,1.967166,5.721849,2.736243
01.wav,4.360000,1.267806,2.609318,1.430036,4.948695,6.806782,3.553714,1.741202,4.362403,2.197772,3.107655
01.wav,4.380000,2.644306,2.032233,4.138673,4.931330,5.720742,4.669856,6.189162,2.982369,2.999517,2.793751
01.wav,4.400000,2.169128,2.810742,0.897293,3.918792,5.336090,5.606895,2.203705,1.598868,2.025668,5.369843
01.wav,4.420000,1.614272,1.599463,4.900261,2.970075,5.653337,5.198895,4.332322,5.482682,5.371599,1.032167
01.wav,4.440000,4.218091,0.845789,1.365588,0.982890,6.680188,6.128177,3.176349,2.886120,3.959644,3.493784
01.wav,4.460000,1.066779,3.393041,0.572172,3.901522,2.733289,3.782969,2.841203,5.644262,4.838257,3.399784
01.wav,4.480000,1.043337,0.210185,2.337684,3.473770,5.157465,5.563839,4.461703,2.298618,5.839034,2.542172
01.wav,4.500000,1.235594,3.210430,1.465293,1.401644,7.116482,5.834698,1.910486,1.526561,4.869418,5.036625
01.wav,4.520000,1.940107,0.788121,2.131539,5.393551,5.878404,3.080270,6.414475,2.367285,3.837206,2.920601
